Description:	Naive, three-loop dgemm.

Size:	testGflops/s	refGflops/s	percent
202	4.58		27.7		0.166
203	4.63		27		0.171
204	4.42		28		0.158
205	4.07		27.2		0.149
206	4.54		27.6		0.165
207	4.57		27		0.17
208	4.08		28		0.146
209	4.55		27.2		0.167
210	4.48		27.8		0.161
211	4.52		27.1		0.167
212	4.32		28		0.154
213	4.51		27.3		0.165
214	4.45		27.7		0.161
215	4.51		27.1		0.167
216	4.15		28		0.148
217	4.47		27.4		0.163
218	4.41		27.8		0.159
219	4.42		27.2		0.162
220	4.28		28.1		0.152
221	4.38		27.4		0.16
222	4.33		27.8		0.156
223	4.3		27.2		0.158
224	2.17		28.1		0.0772
225	4.27		27.5		0.155
226	4.28		27.9		0.153
227	4.28		27.3		0.157
228	4.2		28.2		0.149
229	4.34		27.5		0.158
230	4.31		27.9		0.154
231	4.39		27.3		0.16
232	4.07		28.2		0.144
233	4.38		27.6		0.159
234	4.34		28		0.155
235	4.39		27.4		0.16
236	4.23		28.2		0.15
237	4.36		27.6		0.158
238	4.31		27.9		0.154
239	3.44		27.5		0.125
240	3.4		28.2		0.12
241	3.43		27.7		0.124
242	4.28		28.1		0.152
243	4.31		27.5		0.157
244	4.16		28.3		0.147
245	4.3		27.7		0.155
246	4.26		28		0.152
247	4.33		27.5		0.157
248	4		28.3		0.141
249	4.28		27.8		0.154
250	4.24		28.1		0.151
251	4.18		27.6		0.152
252	4.11		28.4		0.144
253	4.09		27.7		0.148
254	4.16		28.1		0.148
255	3.99		27.4		0.146
256	1.45		28.4		0.051
257	3.98		25.9		0.154
258	4.15		27.5		0.151
259	4.03		26		0.155
260	4.08		28.1		0.145
261	4.14		26.3		0.158
262	4.22		27.7		0.152
263	4.25		26.2		0.162
264	4.01		28		0.143
265	4.26		26.4		0.161
266	4.27		27.8		0.154
267	4.23		26.4		0.161
268	4.17		28.2		0.148
269	4.26		26.5		0.161
270	4.25		27.6		0.154
271	3.15		26.2		0.12
272	2.42		27.9		0.0866
273	3.14		26.5		0.119
274	4.23		27.8		0.152
275	4.23		26.5		0.16
276	4.13		28		0.147
277	4.27		26.4		0.162
278	4.25		27.8		0.153
279	4.27		26.5		0.161
280	4		28.1		0.142
281	4.25		26.7		0.16
282	4.22		27.8		0.152
283	4.19		26.4		0.158
284	4.09		28.3		0.145
285	4.13		26.6		0.155
286	4.14		27.9		0.148
287	4.04		26.5		0.152
288	2.12		28.2		0.0753
289	4.01		26.8		0.15
290	4.11		28		0.147
291	4.06		26.7		0.152
292	4.04		28.3		0.143
293	4.14		26.7		0.155
294	4.19		27.9		0.15
295	4.23		26.6		0.159
296	3.99		28.2		0.141
297	4.23		26.9		0.158
298	4.22		28.1		0.15
299	4.23		26.8		0.158
