Description:	mydgemm

Size:	testGflops/s	refGflops/s	percent
207	15.7		26.9		0.582
208	17.1		28		0.611
209	15.8		27.3		0.579
210	17.5		27.8		0.632
211	15.9		27.1		0.588
212	17.6		28		0.628
213	16		27.3		0.586
214	17.6		27.7		0.637
215	15.9		27.1		0.588
216	17.2		28		0.614
217	16		27.4		0.584
218	17.5		27.8		0.631
219	15.4		27.2		0.565
220	17.1		28.1		0.607
221	16		27.4		0.583
222	17.6		27.8		0.634
223	16		27.2		0.589
224	17.3		28.1		0.613
225	15.7		27.5		0.572
226	17.4		27.9		0.625
227	15.7		27.3		0.576
228	17.3		28.2		0.615
229	15.8		27.5		0.576
230	17.4		27.9		0.623
231	15.8		27.3		0.578
232	17.1		28.1		0.606
233	15.8		27.6		0.574
234	17.5		28		0.627
235	15.9		27.4		0.582
236	17.7		28.2		0.626
237	16		27.6		0.579
238	17.6		28		0.629
239	15.9		27.5		0.581
240	17.2		28.2		0.609
241	15.9		27.7		0.576
242	17.7		28.1		0.63
243	16		26.3		0.609
244	17.8		28.3		0.627
245	16.1		27.7		0.582
246	17.7		28		0.633
247	16.1		27.5		0.584
248	17.4		28.3		0.614
249	16.1		27.8		0.579
250	17.8		28.1		0.632
251	16.1		27.6		0.583
252	17.6		28.4		0.621
253	15.3		27.7		0.553
254	15.9		28.1		0.567
255	14		27.4		0.513
256	12.3		28.4		0.434
257	12.8		25.9		0.493
258	15.8		27.4		0.579
259	15.3		26		0.588
260	17.5		28.1		0.624
261	15.9		26.3		0.607
262	17.6		27.7		0.637
263	15.9		26.2		0.608
264	17.2		28		0.616
265	16		26.4		0.604
266	17.8		27.8		0.639
267	16.1		26.4		0.609
268	17.8		28.2		0.632
269	16.1		26.5		0.609
270	17.8		26.7		0.664
271	16.1		26.2		0.613
272	17.4		27.8		0.625
273	16.1		26.5		0.608
274	17.8		27.8		0.639
275	16.2		26.5		0.61
276	17.9		28		0.638
277	16.2		26.4		0.614
278	17.7		27.8		0.637
279	16.1		26.5		0.608
280	17.3		27.3		0.635
281	16.1		26.7		0.603
282	17.8		27.8		0.64
283	15.9		26.5		0.599
284	17.7		28.3		0.626
285	16		26.7		0.602
286	17.7		27.9		0.636
287	16.1		26.6		0.606
288	17.3		28.2		0.613
289	15.8		25.4		0.621
290	17.5		28		0.626
291	15.8		26.7		0.593
292	16.8		28.3		0.592
293	15.4		26.7		0.575
294	17.3		27.9		0.618
295	15.8		26.7		0.594
296	17		28.2		0.604
297	15.8		25.6		0.617
298	17.6		28.1		0.626
299	16		26.8		0.596
300	17.5		28.4		0.618
301	15.9		26.9		0.593
302	17.6		28		0.627
303	15.9		26.8		0.594
304	17.2		28.3		0.607
305	15.8		26.9		0.588
306	16.7		28		0.597
307	14.2		26.8		0.53
308	16.6		28.4		0.582
309	15.7		27		0.584
310	17.6		27.9		0.63
311	16		26.7		0.598
312	17.2		28.1		0.614
313	15.9		26.8		0.595
314	17.7		28.2		0.628
315	16.1		27		0.594
316	17.8		28.3		0.628
317	16.1		26.9		0.6
318	17.7		28		0.634
319	16		27		0.595
320	17.4		28.4		0.611
321	15.7		27.1		0.579
322	17.5		28		0.624
323	15.9		26.6		0.596
324	17.5		28.6		0.614
325	15.1		27.1		0.555
326	17.5		28		0.625
327	15.8		26.9		0.589
328	17		28.2		0.605
329	15.8		27		0.586
330	17.6		28.3		0.621
331	15.9		27.2		0.585
332	17.6		28.4		0.62
333	16		27.1		0.59
334	17.5		28.3		0.621
335	15.9		27.1		0.586
336	17.2		28.5		0.604
337	15.9		27		0.588
338	17.5		28.1		0.621
339	15.2		27		0.564
340	16.1		28.6		0.563
341	13.2		27		0.491
342	14.6		28.3		0.518
343	15.1		27.2		0.557
344	16.7		28.2		0.593
345	15.8		27		0.587
346	17.6		28.4		0.62
347	15.8		27.3		0.578
348	17.7		28.7		0.618
349	16.1		27.4		0.588
350	17.7		28.4		0.625
351	16.1		27.3		0.59
